"Purchase","ShareLink","Deal01","Deal02","Deal03","Deal04","PQ1","PQ2","PQ3","PV1","PV2","PV3","PC1","PC2","PC3","PC4","FNE1","FNE2","FNE3","FNE4","Spont01","Spont02","Spont03","Spont04","Spont05","Risk01","Risk02","Risk03","Risk04","Risk05","Ratio01","Ratio02","Ratio03","Ratio04","Intuit01","Intuit02","Intuit03","Intuit04","Intuit05","Depend01","Depend02","Depend03","Depend04","Depend05","dGender","YrBirth","IBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSport","dFraternity","dAssoc","dAbroad"
1,0,2,1,3,2,2,5,5,3,3,6,3,6,6,3,1,6,3,5,3,3,4,4,3,5,6,1,5,4,2,3,4,3,3,3,1,3,3,2,2,3,2,3,2,1998,1,86,3,5,5,10,1,3,2,2,2,1,2
70,3,2,1,1,3,2,2,2,2,3,4,5,5,5,5,2,6,3,6,NA,NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1,1,4,1,5,4,4,2,3,3,2,2,2,2,4,5,3,5,NA,NA,NA,5,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2,2,2,2,3,4,5,4,3,3,3,4,4,3,3,7,1,7,2,4,4,4,4,3,4,3,5,3,5,3,3,3,5,3,3,3,3,3,5,5,3,3,3,2,1997,1,75,14,0,16,20,3,1,2,1,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,1,1,3,1,2,3,3,2,1,1,2,2,2,2,4,4,5,4,3,3,4,3,3,3,6,3,5,2,2,2,2,2,3,3,3,5,3,3,3,3,3,3,1,1995,1,80,0,8,6,6,2,1,2,2,1,2,2
74,1,2,2,2,3,3,3,5,2,6,3,3,2,2,2,3,5,6,6,4,5,5,6,3,2,7,6,4,3,2,5,3,3,5,4,2,4,5,2,2,3,5,4,2,1995,1,80,2,25,0,5,2,1,2,1,1,1,2
65,0,2,2,3,3,5,6,5,3,3,3,3,2,6,4,2,5,3,5,3,3,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,2,3,3,1,1997,1,61,6,0,6,3,3,3,2,1,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
